Account Name,Type,18 Digit ID,Account ID,LE ID,Artist Name (pka or dba),Company Name,Legal Name,Primary Contact First Name,Primary Contact Last Name
Lil 6,Artist,001PP00000lWQFeYAO,001PP00000lWQFe,,Lil 6,,Andrue Rivers,,
NEKKZI,Artist,001PP00000lWVQfYAO,001PP00000lWVQf,,NEKKZI,,Stephan Bibbey,,
RezaDead,Artist,001PP00000lWhLJYA0,001PP00000lWhLJ,,RezaDead,,Rexa Azad,,
Jamvvis,Artist,001PP00000lWnTyYAK,001PP00000lWnTy,,jamvvis,,Jamal Davis,,
Lostpiece,Producer,001PP00000lXvVyYAK,001PP00000lXvVy,,Lostpiece,,utku efe,,
N Vee Production,Artist,001PP00000lfueJYAQ,001PP00000lfueJ,,N Vee Production,,Navdeep Singh,,
JayReid,Producer,001PP00000loSfZYAU,001PP00000loSfZ,,JayReid,,Jaylen Reid,,
MUZZ,Artist,001PP00000loooAYAQ,001PP00000loooA,,MUZZ,,Mustafa Alobaidi,,
Dogszn,Musician,001PP00000lunKjYAI,001PP00000lunKj,,Dogszn,,Dogie Dougie,,
YBW Profit,Artist,001PP00000lvPWTYA2,001PP00000lvPWT,,YBW Profit,,Namir Houston,,
Paygotti,Artist,001PP00000lvp7aYAA,001PP00000lvp7a,,Paygotti,"1Shot Entertainment, LLC",Deandre Wheelwright,,
MVSTERIOUS,Artist,001PP00000lwAYcYAM,001PP00000lwAYc,,MVSTERIOUS,,Bozaev Zhandos Tokanovich,,
CR2,Record Label,001PP00000lwBhdYAE,001PP00000lwBhd,,,Cr2 Holdings,,,
Com Truise,Artist,001PP00000lwLViYAM,001PP00000lwLVi,,Com Truise,,Seth Haley,,
Croosh,Artist,001PP00000lwNPPYA2,001PP00000lwNPP,,Croosh,,Jamir Malek,,
NEVAEHdwm,Artist,001PP00000mARN6YAO,001PP00000mARN6,,NEVAEHdwm,,Bart Boerwinkel,,
Rhino Entertainment Company,Record Label,001PP00000mAtnjYAC,001PP00000mAtnj,,,Rhino Entertainment Company,,,
ProdVior CC,Producer,001PP00000mCUhqYAG,001PP00000mCUhq,,ProdVior CC,,Yaron Wairy,,
OT8 Entertainment LLC,Record Label,001PP00000mDJXRYA4,001PP00000mDJXR,,EthoSuave,OT8 Entertainment LLC,Ethan J Gutierrez,,
Adrian Calin Media LLC,Media,001PP00000mIPdxYAG,001PP00000mIPdx,,,Adrian Calin Media LLC dba The Resistance,,,
Mad Dubz,Artist,001PP00000mIn0GYAS,001PP00000mIn0G,,Mad Dubz,,Thomas Clifton,,
beastboi,Artist,001PP00000mIsccYAC,001PP00000mIscc,,beastboi.,,Khai Adams,,
VKTM,Artist,001PP00000mItATYA0,001PP00000mItAT,,VKTM,,Bijan Hosseini,,
BlackJeans,Artist,001PP00000mJfOtYAK,001PP00000mJfOt,,BlackJeans,,Joseph Villafane,,
